Star Rating,Review Text,Word Count
1,Почему пенсионерам скидки - потому что обманываем Вас,8
1,горячая линия магазина - работают люди-роботы,6
1,Квест-развод или как получить товар по скидке!Тест на внимательность!,9
1,"Как из покупателей делают ДУРАКОВ, а мы ещё и деньги за это платим !",14
1,Любят обманывать по акциям и скидкам.,6
1,"Свежая колбаса завтра будет, сегодня только просроченная.",7
1,Какой еще ЭКОНОМ? Обман на ровном месте!,7
1,"истинными хозяевами Пятерочки являются продавцы и админы, которые решают продавать вам или указать на дверь.",15
1,Ужасный магазин,2
1,"Фейковые баллы и акции, хамство от всех сотрудников, крайне низкий сервис, высокие цены, бродячие собаки",15
1,Меняйте персонал,2
1,Отвратительно! Безобразно! Незаконно !,4
1,Покупателей (цензура) только в путь.,5
1,"Новые магазины отличные, старые заброшены",5
1,Отвратительный работодатель.,2
1,Обман и хамство,3
1,Работают хамы и не квалифицированные сотрудники,6
1,"Магазин хороший, а вот персонал хамло",6
1,Пытался общаться со службой поддержки Пятерочка,6
1,Продают заведомо не качественный товар,5
1,Абсолютно бестолковая директор магазина.,4
1,Сильно разочаровалась,2
1,Мошенники.,1
1,"Отвратительно, покупатели в этом магазине лишние, магазин только для сотрудников",10
1,торгуют плесенью,2
1,Постоянный обвес,2
1,Нарушение трудовых прав работника,4
1,Отвратительный магазин,2
1,"Отвратительно. Обвесили, гнилой товар.",4
1,Неудовлетворительное,1
1,"Отвратительное отношение к покупателю? Дааа детка, это пятёрочка)",8
1,Нехорошие люди в управлении,4
1,У магазина нет администратора!,4
1,"Хлеб стал роскошью, не каждый день можно себе позволить такой деликатес",11
1,Постоянное отсутствие свежей птицы,4
1,Пятерочка у метро Строгино ужасна.,5
1,Хамство работника не славянской наружности в 5-ке в Кокошкино,9
1,Магазин расположен на Рублевском шоссе дом 30к1.Обман с ценниками.,9
1,распространение дизентирии в месте приема товара магазина Пятерочка,8
1,Пятерочка обманывает,2
1,"Пятерочка не выручает, а обманывает",5
1,ненавижу,1
1,Плохой магазин,2
1,Хамское отношение персонала,3
1,Раньше был лучше,3
1,The service in Pyaterochka supermarket is terrible! Шарашкина контора (правильно тут пишут),12
1,О Б М А Н ! Лживые акции!,8
1,Отвратительно,1
1,Обслуживание хуже некуда.,3
1,Арбузы испортившиеся.,2
1,Безобразное поведение завидущей при подчинённых и покупателей.,7
1,доставка и операторы-ниже плинтуса,4
1,разводилово,1
1,"Ужасная организация продажи в магазине по Луначарского,136 в Екатеринбурге и отвратительное отношение к людям",14
1,Отвратительная ситуация и равнодушие со стороны работников к проблеме,9
1,цирк,1
1,Пятерочка «выручает»,2
1,Берегись уборщиц Пятерочки!,3
1,ужас,1
1,Хамское отношение,2
1,Испорченный продукт,2
1,Обманывает покупателей.,2
1,Ужас,1
1,как пятерка ворует баллы без объяснения причин,7
1,"Уху ел,только по другому.",4
1,Отвратительно,1
1,С годами в этой сети ничего не меняется к лучшему,10
1,"А вы, друзья, как ни садитесь.",6
1,Ну вот и к нам пришло это счастье.,8
1,Бешеный охранник,2
1,Доставка. Очень плохо,3
1,Худшая доставка в России. Обман с оплатой. Гнилые продукты,9
1,Проблема на проблеме,3
1,Пятёрочка ворует баллы,3
1,Политика компании - плохое отношение к покупателям.,7
1,Воровской магазин.,2
1,"Не магазин, а какой-то табор.",5
1,Очень плохо,2
1,Пятерочка - мошенники!,3
1,"Потрачено время, испорчено настроение и вечер.",6
1,Очередной лохотрон с наклейками,4
1,Отвратительный сервис,2
1,"Заказали доставку, худший сервис в мире!",6
1,Гадость и мерзость,3
1,Опасная контора!,2
1,Допустимая погрешность электронных весов? Как на рынке!,7
1,"Отзыв о телефонной ""поддержке"" и службе ответов на обращения",9
1,Это тихий ужас,3
1,Магазин плохой. Работают там не добросовестные работники.,7
1,"В консерве то, чего нет в составе.",7
1,Хуже этого магазина я ещё не видел,7
1,Мошенничество в приложении,3
1,Про приложение.,2
1,Очередной обман,2
1,ОБМАН БЕРСЕНЕВКА ПЯТЕРОЧКА,3
1,Отвратительная сеть!,2
1,Отвратительно!,1
1,"Не активировали выигрышный QR- код, полученный при онлайн-голосовании",8
1,Пятерочка,1
1,Не впечатлило,2
1,"впечатление, что пятерочка держит своих клиентов за низший класс",9
1,Обман кассиров. Сдают на сдачу купюры банка приколов,8
1,Самый хамоватый Персонал который я встречал,6
1,Ужасно,1
1,Ужасный сервис доставки,3
1,Тараканы и грязь,3
1,возмутительно!,1
1,Обман ценниками завышенные слишком в1. 5раза,6
1,На пятерочку,2
1,Ужас,1
1,Хамство и обман,3
1,"Отвратительные магазины пятёрочка. Самые гадкие, на мой взгляд, из существующих.",10
1,Обман покупателей акциями без возможности получения скидки.,7
1,Впечатление от посещения магазина -ОТВРАТИТКЛЬНОЕ!,5
1,Мошенничество,1
1,Про купоны,2
1,"Ещё не открылись, но уже обманывают.",6
1,Наглые обманщики!,2
1,Опасное для общества.,3
1,Один обман,2
1,Беспредел с ценами,3
1,Негативное,1
1,не понравилось! ужасные сотрудники,4
1,Лож и обман.,3
1,Очень плохо,2
1,Продают откровенную тухлятину,3
1,отвратительно,1
1,Самый невоспитанный кассир,3
1,"Ложь,обман",1
1,Самая лживая продуктовая сеть,4
1,"Не магазин,а хлам.",3
1,Клиентоориентированность «на высшем уровне»,4
1,Один обман,2
1,Сплошное Кидалово,2
1,Магазин машенников,2
1,Посредственный магазин,2
1,"Акция Товар Дня,создана только для сотрудников,как и все акции в пятёрочке.",11
1,"Вот без преувеличения! Самая ужасная сеть магазинов, которая 2 года назад пришла в наш город",15
1,Ужаснейшая сеть магазинов Пятёрочка,4
1,Отвратительно! Постоянный обман покупателей,4
1,Впечатление очень плохое,3
1,Мошенничество,1
1,Лучше сходить в другой магазин,5
1,Отвратительно,1
1,Очень негативное впечатление.,3
1,"Все нервы вымотали, мошенники.",4
1,Шок! Куда смотрят руководители?,4
1,Полная некомпетентность,2
1,Читайте отзыв …,3
1,Помойка,1
1,Ужасно,1
1,Мошеники,1
1,Скам,1
1,Обан.,1
1,отвратительно!,1
1,Крайне неприятный магазин.,3
1,По ценам не плохо. По бонусам ужас.,7
1,Отвратительная доставка и товары плохого качества!,6
1,Достоинств нет,2
1,"Заказ доставку, перепутали заказ, свой не могу получить.",8
1,Обманщики и хамы,3
1,"Жадность и еще раз жадность. Лучше выбросим, но цену не сбавим.",11
1,Больше не пойду,3
1,Ужасное!,1
1,Ужасно,1
1,Втихаря списывают накопленные балы под ноль,6
1,Не советую,2
1,Негативное,1
1,Мошенники,1
1,Некорректно цены выставлены,3
1,Отвратительное отношение,2
1,"Ужас дикий, можно травануться, я в шоке",7
1,отвратительно,1
1,Обманывать нехорошо,2
1,Ужасно,1
1,не какого сервиса,3
1,Украли баллы,2
1,Воруют баллы у своих постоянных клиентов.,6
1,Жулики и Надувалы,3
1,Магазин украл деньги,3
1,Быдло и хамы! А когда-то ведь был приличный магазин.,9
1,Недостатки маркетинга и акционной политики,5
1,Непрофессиональное руководство компании,3
1,Мошенники,1
1,Днище,1
1,"Пропадают баллы, поддержка не решает",5
1,Шок!,1
1,Отвратительно,1
1,похоже дурят профессионально,3
1,1,1
1,Обман с баллами,3
1,Сервисный центр ничего не знает звонить бесполезно.,7
1,Обманывают клиентов,2
1,Обман покупателя,2
1,Отвратительный магазин,2
1,"тем, кто работает в пятерочке",5
1,"Отзыв по новому магазину Пятерочка г.Красногорск, Опалиха, ул. Пришвина, 19",10
1,Недопустимое отношение работников к работе,5
1,Мошенники,1
1,Недопустимый бардак.,2
1,Новая акция лоттерея 2022 -разводилово для сбора данных клиентов,9
1,Вечный бардак,2
1,Плохое обслуживание,2
1,Резко отрицательное,2
1,Хороший магазин УЖАСНЫЙ ПЕРСОНАЛ.,4
1,Просто без комментариев!,3
1,"Сплошное надувательство , а не программа лояльности!",7
1,НЕ ПОКУПАЙТЕ НИЧЕГО В ПЯТЁРОЧКЕ В ОТПУСКЕ!,7
1,"Что доставка, что трудоустройство. Готовьте нервные клетки.",7
1,"Неуважение к покупателям, полное безразличие к собственной репутации",8
1,Продают тухлятину,2
1,Хамское отношение к покупателям. Возвращаться не хочется. Унизили и даже прощения не попросили.,13
1,"Протухшая просроченная голень цыпленка, нет ответа на обращения",8
1,"Украли баллы с Карты, которая никогда не терялась и была при мне!",12
1,Система Пятёрочка не выполняет обещанного по промо-акциях,7
1,Непорядочные люди,2
1,Выбросили деньги в помойку,4
1,-15,1
1,Нарушение правил торговли,3
1,"Обманули: добавили товар, который не брали",6
1,Путаница с ценниками,3
1,обман со скидками,3
1,Не советую! Будет внимательны!,4
1,Хамское обслуживание,2
1,Не покупайте выпечку,3
1,Ужасный сервис в магазинах Пятерочка Сызрани.,6
1,Вы там чтоль рабовладельцами себя ощутили?,6
1,4 раза не получилось сделать заказы! Жесть,7
1,Кассово-маркетинговое воровство,2
1,ужас,1
1,"Отвратительное качество обслуживани,я",3
1,Не советую,2
1,Наплевательское и хамское отношение к покупателям,6
1,Не рекомендую,2
1,Отвратительно,1
1,не хорошие люди - уУРОДЫ,5
1,"Сплошной обман с ценами: на ценнике одна цена, пробивают другую -выше.",11
1,Стал безумно дорогим...,3
1,Акция !Стильные ножи! Не ведитесь,5
1,"Скудный ассортимент, гнилые овощи и фрукты, хамство",7
1,обман,1
1,Воруют баллы с карты лояльности,5
