"Absolute Path","Relative Path","Label"
"D:/PPLabs/lab1/dataset\1\0001.txt","lab1\dataset\1\0001.txt","1"
"D:/PPLabs/lab1/dataset\1\0002.txt","lab1\dataset\1\0002.txt","1"
"D:/PPLabs/lab1/dataset\1\0003.txt","lab1\dataset\1\0003.txt","1"
"D:/PPLabs/lab1/dataset\1\0004.txt","lab1\dataset\1\0004.txt","1"
"D:/PPLabs/lab1/dataset\1\0005.txt","lab1\dataset\1\0005.txt","1"
"D:/PPLabs/lab1/dataset\1\0006.txt","lab1\dataset\1\0006.txt","1"
"D:/PPLabs/lab1/dataset\1\0007.txt","lab1\dataset\1\0007.txt","1"
"D:/PPLabs/lab1/dataset\1\0008.txt","lab1\dataset\1\0008.txt","1"
"D:/PPLabs/lab1/dataset\1\0009.txt","lab1\dataset\1\0009.txt","1"
"D:/PPLabs/lab1/dataset\1\0010.txt","lab1\dataset\1\0010.txt","1"
"D:/PPLabs/lab1/dataset\1\0011.txt","lab1\dataset\1\0011.txt","1"
"D:/PPLabs/lab1/dataset\1\0012.txt","lab1\dataset\1\0012.txt","1"
"D:/PPLabs/lab1/dataset\1\0013.txt","lab1\dataset\1\0013.txt","1"
"D:/PPLabs/lab1/dataset\1\0014.txt","lab1\dataset\1\0014.txt","1"
"D:/PPLabs/lab1/dataset\1\0015.txt","lab1\dataset\1\0015.txt","1"
"D:/PPLabs/lab1/dataset\1\0016.txt","lab1\dataset\1\0016.txt","1"
"D:/PPLabs/lab1/dataset\1\0017.txt","lab1\dataset\1\0017.txt","1"
"D:/PPLabs/lab1/dataset\1\0018.txt","lab1\dataset\1\0018.txt","1"
"D:/PPLabs/lab1/dataset\1\0019.txt","lab1\dataset\1\0019.txt","1"
"D:/PPLabs/lab1/dataset\1\0020.txt","lab1\dataset\1\0020.txt","1"
"D:/PPLabs/lab1/dataset\1\0021.txt","lab1\dataset\1\0021.txt","1"
"D:/PPLabs/lab1/dataset\1\0022.txt","lab1\dataset\1\0022.txt","1"
"D:/PPLabs/lab1/dataset\1\0023.txt","lab1\dataset\1\0023.txt","1"
"D:/PPLabs/lab1/dataset\1\0024.txt","lab1\dataset\1\0024.txt","1"
"D:/PPLabs/lab1/dataset\1\0025.txt","lab1\dataset\1\0025.txt","1"
"D:/PPLabs/lab1/dataset\1\0026.txt","lab1\dataset\1\0026.txt","1"
"D:/PPLabs/lab1/dataset\1\0027.txt","lab1\dataset\1\0027.txt","1"
"D:/PPLabs/lab1/dataset\1\0028.txt","lab1\dataset\1\0028.txt","1"
"D:/PPLabs/lab1/dataset\1\0029.txt","lab1\dataset\1\0029.txt","1"
"D:/PPLabs/lab1/dataset\1\0030.txt","lab1\dataset\1\0030.txt","1"
"D:/PPLabs/lab1/dataset\1\0031.txt","lab1\dataset\1\0031.txt","1"
"D:/PPLabs/lab1/dataset\1\0032.txt","lab1\dataset\1\0032.txt","1"
"D:/PPLabs/lab1/dataset\1\0033.txt","lab1\dataset\1\0033.txt","1"
"D:/PPLabs/lab1/dataset\1\0034.txt","lab1\dataset\1\0034.txt","1"
"D:/PPLabs/lab1/dataset\1\0035.txt","lab1\dataset\1\0035.txt","1"
"D:/PPLabs/lab1/dataset\1\0036.txt","lab1\dataset\1\0036.txt","1"
"D:/PPLabs/lab1/dataset\1\0037.txt","lab1\dataset\1\0037.txt","1"
