"Absolute Path","Relative Path","Label"
"D:/PPLabs/lab2/copy_dataset\1_0001.txt","lab2\copy_dataset\1_0001.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0002.txt","lab2\copy_dataset\1_0002.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0003.txt","lab2\copy_dataset\1_0003.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0004.txt","lab2\copy_dataset\1_0004.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0005.txt","lab2\copy_dataset\1_0005.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0006.txt","lab2\copy_dataset\1_0006.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0007.txt","lab2\copy_dataset\1_0007.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0008.txt","lab2\copy_dataset\1_0008.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0009.txt","lab2\copy_dataset\1_0009.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0010.txt","lab2\copy_dataset\1_0010.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0011.txt","lab2\copy_dataset\1_0011.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0012.txt","lab2\copy_dataset\1_0012.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0013.txt","lab2\copy_dataset\1_0013.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0014.txt","lab2\copy_dataset\1_0014.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0015.txt","lab2\copy_dataset\1_0015.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0016.txt","lab2\copy_dataset\1_0016.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0017.txt","lab2\copy_dataset\1_0017.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0018.txt","lab2\copy_dataset\1_0018.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0019.txt","lab2\copy_dataset\1_0019.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0020.txt","lab2\copy_dataset\1_0020.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0021.txt","lab2\copy_dataset\1_0021.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0022.txt","lab2\copy_dataset\1_0022.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0023.txt","lab2\copy_dataset\1_0023.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0024.txt","lab2\copy_dataset\1_0024.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0025.txt","lab2\copy_dataset\1_0025.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0026.txt","lab2\copy_dataset\1_0026.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0027.txt","lab2\copy_dataset\1_0027.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0028.txt","lab2\copy_dataset\1_0028.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0029.txt","lab2\copy_dataset\1_0029.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0030.txt","lab2\copy_dataset\1_0030.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0031.txt","lab2\copy_dataset\1_0031.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0032.txt","lab2\copy_dataset\1_0032.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0033.txt","lab2\copy_dataset\1_0033.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0034.txt","lab2\copy_dataset\1_0034.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0035.txt","lab2\copy_dataset\1_0035.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0036.txt","lab2\copy_dataset\1_0036.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0037.txt","lab2\copy_dataset\1_0037.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0038.txt","lab2\copy_dataset\1_0038.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0039.txt","lab2\copy_dataset\1_0039.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0040.txt","lab2\copy_dataset\1_0040.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0041.txt","lab2\copy_dataset\1_0041.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0042.txt","lab2\copy_dataset\1_0042.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0043.txt","lab2\copy_dataset\1_0043.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0044.txt","lab2\copy_dataset\1_0044.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0045.txt","lab2\copy_dataset\1_0045.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0046.txt","lab2\copy_dataset\1_0046.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0047.txt","lab2\copy_dataset\1_0047.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0048.txt","lab2\copy_dataset\1_0048.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0049.txt","lab2\copy_dataset\1_0049.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0050.txt","lab2\copy_dataset\1_0050.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0051.txt","lab2\copy_dataset\1_0051.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0052.txt","lab2\copy_dataset\1_0052.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0053.txt","lab2\copy_dataset\1_0053.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0054.txt","lab2\copy_dataset\1_0054.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0055.txt","lab2\copy_dataset\1_0055.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0056.txt","lab2\copy_dataset\1_0056.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0057.txt","lab2\copy_dataset\1_0057.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0058.txt","lab2\copy_dataset\1_0058.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0059.txt","lab2\copy_dataset\1_0059.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0060.txt","lab2\copy_dataset\1_0060.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0061.txt","lab2\copy_dataset\1_0061.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0062.txt","lab2\copy_dataset\1_0062.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0063.txt","lab2\copy_dataset\1_0063.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0064.txt","lab2\copy_dataset\1_0064.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0065.txt","lab2\copy_dataset\1_0065.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0066.txt","lab2\copy_dataset\1_0066.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0067.txt","lab2\copy_dataset\1_0067.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0068.txt","lab2\copy_dataset\1_0068.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0069.txt","lab2\copy_dataset\1_0069.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0070.txt","lab2\copy_dataset\1_0070.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0071.txt","lab2\copy_dataset\1_0071.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0072.txt","lab2\copy_dataset\1_0072.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0073.txt","lab2\copy_dataset\1_0073.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0074.txt","lab2\copy_dataset\1_0074.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0075.txt","lab2\copy_dataset\1_0075.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0076.txt","lab2\copy_dataset\1_0076.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0077.txt","lab2\copy_dataset\1_0077.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0078.txt","lab2\copy_dataset\1_0078.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0079.txt","lab2\copy_dataset\1_0079.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0080.txt","lab2\copy_dataset\1_0080.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0081.txt","lab2\copy_dataset\1_0081.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0082.txt","lab2\copy_dataset\1_0082.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0083.txt","lab2\copy_dataset\1_0083.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0084.txt","lab2\copy_dataset\1_0084.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0085.txt","lab2\copy_dataset\1_0085.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0086.txt","lab2\copy_dataset\1_0086.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0087.txt","lab2\copy_dataset\1_0087.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0088.txt","lab2\copy_dataset\1_0088.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0089.txt","lab2\copy_dataset\1_0089.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0090.txt","lab2\copy_dataset\1_0090.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0091.txt","lab2\copy_dataset\1_0091.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0092.txt","lab2\copy_dataset\1_0092.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0093.txt","lab2\copy_dataset\1_0093.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0094.txt","lab2\copy_dataset\1_0094.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0095.txt","lab2\copy_dataset\1_0095.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0096.txt","lab2\copy_dataset\1_0096.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0097.txt","lab2\copy_dataset\1_0097.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0098.txt","lab2\copy_dataset\1_0098.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0099.txt","lab2\copy_dataset\1_0099.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0100.txt","lab2\copy_dataset\1_0100.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0101.txt","lab2\copy_dataset\1_0101.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0102.txt","lab2\copy_dataset\1_0102.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0103.txt","lab2\copy_dataset\1_0103.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0104.txt","lab2\copy_dataset\1_0104.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0105.txt","lab2\copy_dataset\1_0105.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0106.txt","lab2\copy_dataset\1_0106.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0107.txt","lab2\copy_dataset\1_0107.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0108.txt","lab2\copy_dataset\1_0108.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0109.txt","lab2\copy_dataset\1_0109.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0110.txt","lab2\copy_dataset\1_0110.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0111.txt","lab2\copy_dataset\1_0111.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0112.txt","lab2\copy_dataset\1_0112.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0113.txt","lab2\copy_dataset\1_0113.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0114.txt","lab2\copy_dataset\1_0114.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0115.txt","lab2\copy_dataset\1_0115.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0116.txt","lab2\copy_dataset\1_0116.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0117.txt","lab2\copy_dataset\1_0117.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0118.txt","lab2\copy_dataset\1_0118.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0119.txt","lab2\copy_dataset\1_0119.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0120.txt","lab2\copy_dataset\1_0120.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0121.txt","lab2\copy_dataset\1_0121.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0122.txt","lab2\copy_dataset\1_0122.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0123.txt","lab2\copy_dataset\1_0123.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0124.txt","lab2\copy_dataset\1_0124.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0125.txt","lab2\copy_dataset\1_0125.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0126.txt","lab2\copy_dataset\1_0126.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0127.txt","lab2\copy_dataset\1_0127.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0128.txt","lab2\copy_dataset\1_0128.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0129.txt","lab2\copy_dataset\1_0129.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0130.txt","lab2\copy_dataset\1_0130.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0131.txt","lab2\copy_dataset\1_0131.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0132.txt","lab2\copy_dataset\1_0132.txt","1"
"D:/PPLabs/lab2/copy_dataset\1_0133.txt","lab2\copy_dataset\1_0133.txt","1"
