"Absolute Path","Relative Path","Label"
"D:/PPLabs/lab2/data_copy_random\1070.text","lab2\data_copy_random\1070.text","1"
"D:/PPLabs/lab2/data_copy_random\8256.text","lab2\data_copy_random\8256.text","1"
"D:/PPLabs/lab2/data_copy_random\3822.text","lab2\data_copy_random\3822.text","1"
"D:/PPLabs/lab2/data_copy_random\1397.text","lab2\data_copy_random\1397.text","1"
"D:/PPLabs/lab2/data_copy_random\4604.text","lab2\data_copy_random\4604.text","1"
"D:/PPLabs/lab2/data_copy_random\6356.text","lab2\data_copy_random\6356.text","1"
"D:/PPLabs/lab2/data_copy_random\7938.text","lab2\data_copy_random\7938.text","1"
"D:/PPLabs/lab2/data_copy_random\2997.text","lab2\data_copy_random\2997.text","1"
"D:/PPLabs/lab2/data_copy_random\7702.text","lab2\data_copy_random\7702.text","1"
"D:/PPLabs/lab2/data_copy_random\4891.text","lab2\data_copy_random\4891.text","1"
"D:/PPLabs/lab2/data_copy_random\7790.text","lab2\data_copy_random\7790.text","1"
"D:/PPLabs/lab2/data_copy_random\5979.text","lab2\data_copy_random\5979.text","1"
"D:/PPLabs/lab2/data_copy_random\6021.text","lab2\data_copy_random\6021.text","1"
"D:/PPLabs/lab2/data_copy_random\2928.text","lab2\data_copy_random\2928.text","1"
"D:/PPLabs/lab2/data_copy_random\2061.text","lab2\data_copy_random\2061.text","1"
"D:/PPLabs/lab2/data_copy_random\1905.text","lab2\data_copy_random\1905.text","1"
"D:/PPLabs/lab2/data_copy_random\216.text","lab2\data_copy_random\216.text","1"
"D:/PPLabs/lab2/data_copy_random\5088.text","lab2\data_copy_random\5088.text","1"
"D:/PPLabs/lab2/data_copy_random\4999.text","lab2\data_copy_random\4999.text","1"
"D:/PPLabs/lab2/data_copy_random\3274.text","lab2\data_copy_random\3274.text","1"
"D:/PPLabs/lab2/data_copy_random\488.text","lab2\data_copy_random\488.text","1"
"D:/PPLabs/lab2/data_copy_random\9400.text","lab2\data_copy_random\9400.text","1"
"D:/PPLabs/lab2/data_copy_random\3168.text","lab2\data_copy_random\3168.text","1"
"D:/PPLabs/lab2/data_copy_random\8484.text","lab2\data_copy_random\8484.text","1"
"D:/PPLabs/lab2/data_copy_random\3735.text","lab2\data_copy_random\3735.text","1"
"D:/PPLabs/lab2/data_copy_random\2505.text","lab2\data_copy_random\2505.text","1"
"D:/PPLabs/lab2/data_copy_random\6962.text","lab2\data_copy_random\6962.text","1"
"D:/PPLabs/lab2/data_copy_random\9864.text","lab2\data_copy_random\9864.text","1"
"D:/PPLabs/lab2/data_copy_random\2203.text","lab2\data_copy_random\2203.text","1"
"D:/PPLabs/lab2/data_copy_random\5587.text","lab2\data_copy_random\5587.text","1"
"D:/PPLabs/lab2/data_copy_random\6271.text","lab2\data_copy_random\6271.text","1"
