Star Rating,Review Text,Word Count
4,"Не ""городская"" Пятёрочка. Нюансы, плюсы и минусы.",7
4,На примере одного из городских магазинов.,6
4,Много зависит от администрации магазина,5
4,"""Пятёрочка"" кое в чём исправилась - отредактированный отзыв",8
4,За чаем хожу и шоколадками,5
4,Удобное расположение и оптимальный ассортимент,5
4,Отличный магазин у дома со своими + и -,9
4,"Как вернуть ""потеряшку""",3
4,нормальный магазин,2
4,серединка на половинку,3
4,Приятные новогодние акции в Пятерочке,5
4,Популярная сеть магазинов для рядового покупателя,6
4,"Огромная площадь и куча всяких вкусностей, нужностей и полезностей)",9
4,Какие же они разные,4
4,"Если бы не отсутствие некоторого товара, посещал бы чаще.",9
4,"Отражение российской экономики и торговли: дешево, сердито, иногда вкусно, иногда жутко. Лотерея.",12
4,Удобный магазин. Недалеко от дома,5
4,"Удобное расположение, средняя цена и какова их перспектива",8
4,Хороший универсам с демократичными ценами,5
4,Хороший сетевой магазин,3
4,Хороший магазин у дома,4
4,"За все магазины не отвечаю, только о посещаемых лично",9
4,"дешево и сердито! Скорее, сердито:)",5
4,Неплохой магазин у дома,4
4,"Большая чистая провинциальная "" Пятерочка""",5
4,Обычный магазин эконом класса,4
4,"Общее впечатление нормальное, но бывает что пятерочка - это оферочка.",10
4,Нормальный магазин у дома,4
4,Неплохая бюджетная сеть магазинов.,4
4,"Обычный, ничем не выделяющийся магазин, но лучше чем магнит.",9
4,"Радостно, что ""Пятерочка"" шагнула в провинцию, теперь и в поселках городского типа",12
4,хороший кофе. удобный сервис,4
4,Один из хороших магазинов,4
4,Поддержка отсутствует,2
4,Хороший магазин на повседнев...,4
4,"В общем позитивное впечатление, но могло бы быть и лучше",10
4,"Это не совсем ""пятерка"", скорее, ""четверка"". Хотя иногда бывает и ""кол"" :))",12
4,Неплохой магазин для ежедневных покупок,5
4,По одёжке протягивай ножки.,4
4,"Вот и в нашем микрорайоне открыли ""Пятерочку""",7
4,Удобный магазин,2
4,Хороший супермаркет,2
4,Средний магазин,2
4,случился со мной курьёз,4
4,отличный сервис,2
4,"А ведь можно что-то изменить, если не молчать",8
4,Отличный вариант пополнить запасы.,4
4,Одна из лучших сетей с точки зрения ценовой политики,9
4,"Что- то нравится, а что - то огорчает, но в целом, хорошо.",12
4,"Стали гораздо приятнее, но уже не эконом)",7
4,"Обычный, нормальный магазин",3
4,удобная сеть у дома,4
4,"Хороший магазин, но следует быть внимательными с акциями и скидками",10
4,Удобные магазины,2
4,Среднее,1
4,Не проверил. Обсчитали на кассе,5
4,"Скорее да, чем нет",4
4,Хожу за покупками часто,4
4,"5ка+Яндекс плюс, петушки",3
4,Недорогой магазин,2
4,Пятёрочка выручает,2
4,"Ходим каждый день, ибо в других магазинах ещё хуже",9
4,Во многих магазинах не закрыты ветрины с выпечкой,8
4,"Всеми известная ""пятерочка"" , популярный магазин продуктов, находящийся на каждой улице.",11
4,"Нормальные супермаркеты, рекомендую",3
4,Хороший магазин,2
4,Хорошо,1
4,Магазын пятерочка хороший.,3
4,Магазин в целом хороший.,4
4,Не всегда довольна магазином!,4
