"Absolute Path","Relative Path","Label"
"D:/PPLabs/lab3/Rnd\606.text","lab3\Rnd\606.text","1"
"D:/PPLabs/lab3/Rnd\1918.text","lab3\Rnd\1918.text","1"
"D:/PPLabs/lab3/Rnd\4920.text","lab3\Rnd\4920.text","1"
"D:/PPLabs/lab3/Rnd\6042.text","lab3\Rnd\6042.text","1"
"D:/PPLabs/lab3/Rnd\7902.text","lab3\Rnd\7902.text","1"
"D:/PPLabs/lab3/Rnd\9301.text","lab3\Rnd\9301.text","1"
"D:/PPLabs/lab3/Rnd\8131.text","lab3\Rnd\8131.text","1"
"D:/PPLabs/lab3/Rnd\2876.text","lab3\Rnd\2876.text","1"
"D:/PPLabs/lab3/Rnd\5836.text","lab3\Rnd\5836.text","1"
"D:/PPLabs/lab3/Rnd\8102.text","lab3\Rnd\8102.text","1"
"D:/PPLabs/lab3/Rnd\2094.text","lab3\Rnd\2094.text","1"
"D:/PPLabs/lab3/Rnd\6557.text","lab3\Rnd\6557.text","1"
"D:/PPLabs/lab3/Rnd\585.text","lab3\Rnd\585.text","1"
"D:/PPLabs/lab3/Rnd\5790.text","lab3\Rnd\5790.text","1"
"D:/PPLabs/lab3/Rnd\1282.text","lab3\Rnd\1282.text","1"
"D:/PPLabs/lab3/Rnd\3550.text","lab3\Rnd\3550.text","1"
"D:/PPLabs/lab3/Rnd\2019.text","lab3\Rnd\2019.text","1"
"D:/PPLabs/lab3/Rnd\261.text","lab3\Rnd\261.text","1"
"D:/PPLabs/lab3/Rnd\1179.text","lab3\Rnd\1179.text","1"
"D:/PPLabs/lab3/Rnd\4670.text","lab3\Rnd\4670.text","1"
"D:/PPLabs/lab3/Rnd\3222.text","lab3\Rnd\3222.text","1"
"D:/PPLabs/lab3/Rnd\7824.text","lab3\Rnd\7824.text","1"
"D:/PPLabs/lab3/Rnd\4414.text","lab3\Rnd\4414.text","1"
"D:/PPLabs/lab3/Rnd\3968.text","lab3\Rnd\3968.text","1"
"D:/PPLabs/lab3/Rnd\7973.text","lab3\Rnd\7973.text","1"
"D:/PPLabs/lab3/Rnd\8818.text","lab3\Rnd\8818.text","1"
"D:/PPLabs/lab3/Rnd\5866.text","lab3\Rnd\5866.text","1"
"D:/PPLabs/lab3/Rnd\1891.text","lab3\Rnd\1891.text","1"
"D:/PPLabs/lab3/Rnd\8381.text","lab3\Rnd\8381.text","1"
"D:/PPLabs/lab3/Rnd\4248.text","lab3\Rnd\4248.text","1"
"D:/PPLabs/lab3/Rnd\6380.text","lab3\Rnd\6380.text","1"
"D:/PPLabs/lab3/Rnd\2816.text","lab3\Rnd\2816.text","1"
"D:/PPLabs/lab3/Rnd\1080.text","lab3\Rnd\1080.text","1"
"D:/PPLabs/lab3/Rnd\734.text","lab3\Rnd\734.text","1"
"D:/PPLabs/lab3/Rnd\116.text","lab3\Rnd\116.text","1"
